AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,CityId,CityName,CountryId,ContinentId,Continent,Country,RegionId,Region,VisitModeId,VisitMode,TransactionId,UserId,VisitYear,VisitMonth,Rating,AttractionType,UserId.1,ContinentId.2,RegionId.2,CountryId.2,CityId.1
369,1,13,Kuta Beach - Bali,Kuta,0,-,0,0,-,-,0,-,0,-,3,70456,2022,10,5,Ancient Ruins,14,5,20,155,220
481,1,13,Nusa Dua Beach,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",1,Douala,1,1,Africa,Cameroon,1,Central Africa,1,Business,8,7567,2022,10,5,Ballets,16,3,14,101,3098
640,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",2,South Region,1,2,America,Chad,1,East Africa,2,Couples,9,79069,2022,10,5,Beaches,20,4,15,109,4303
650,1,13,Sanur Beach,Sanur,3,N'Djamena,2,3,Asia,Rwanda,1,North Africa,3,Family,10,31019,2022,10,3,Caverns & Caves,23,1,4,22,154
673,1,13,Seminyak Beach,Seminyak,4,Kigali,3,4,Australia & Oceania,Ethiopia,2,Southern Africa,4,Friends,15,43611,2022,10,3,Flea & Street Markets,25,3,14,101,3098
737,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",5,Kigali Province,3,5,Europe,Kenya,2,West Africa,5,Solo,18,43471,2022,10,5,Historic Sites,26,5,21,163,4485
748,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",6,Addis Ababa,4,,,Mauritius,2,Caribbean,,,22,76492,2022,9,4,History Museums,27,5,17,130,6107
749,1,93,Tegenungan Waterfall,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia",7,Karen,5,,,Seychelles,2,Central America,,,23,20977,2022,10,5,National Parks,28,2,9,54,2193
824,1,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",8,Kenya,5,,,Sudan,2,Northern America,,,28,18655,2022,9,3,Nature & Wildlife Areas,29,3,14,101,3013
841,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",9,Malindi,5,,,Tanzania,2,South America,,,29,62907,2022,9,5,Neighborhoods,32,3,14,101,3013
877,2,13,Balekambang Beach,Malang District,10,Mombasa,5,,,Uganda,2,Central Asia,,,31,86054,2022,9,5,Points of Interest & Landmarks,33,5,21,162,7639
888,2,61,Bromo Tengger Semeru National Park,"Asrikaton - Pakis, Malang 65100 Indonesia",11,Nairobi,5,,,Zambia,2,East Asia,,,33,41979,2022,9,5,Religious Sites,34,1,4,22,167
897,2,93,Coban Rondo Waterfall,Malang District,12,Shimoni,5,,,Zimbabwe,2,Middle East,,,39,38726,2022,9,3,Spas,37,5,21,158,721
913,2,13,Goa Cina Beach,"Dusun Trowotratih, Desa Sitiarjo Kecamatan Sumbermanjing Wetan, Malang 65111 Indonesia",13,Bel Ombre,6,,,Algeria,3,South Asia,,,43,67147,2022,8,4,Speciality Museums,39,4,15,109,4940
920,2,64,Jodipan Colorful Village,"Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia",14,Curepipe,6,,,Egypt,3,South East Asia,,,44,2307,2022,9,4,Volcanos,42,3,14,106,3551
928,2,82,Khayangan Reflexology & Massage,Malang,15,Flic En Flac,6,,,Morocco,3,Australia,,,45,3660,2022,9,5,Water Parks,48,4,15,109,4940
